feature,importance
unique_h3_cells,0.31607425
slot_avg,0.2081103
avg_distance,0.18491642
dow_sin,0.08059482
day_of_week,0.044042546
lag_1h,0.039164532
hour_cos,0.02495592
demand_vs_24h_avg,0.022849653
demand_vs_3h_avg,0.014886272
avg_duration_sec,0.008861308
avg_tip,0.007819922
demand_change_1h,0.0036497244
precipitation_mm,0.0034794512
roll_6h_min,0.0029161633
roll_6h_max,0.002872773
demand_pct_change_1h,0.002848426
vs_slot_avg_leakfree,0.0021731975
lag_24h,0.002121483
slot_zscore,0.0019487521
vs_slot_avg,0.0019360873
holiday_proximity,0.0019266664
slot_deviation,0.0018152001
lag_3h,0.0014968037
lag_48h,0.0014873208
roll_24h_std,0.0013931561
shared_pct,0.0013663681
short_vs_long_trend,0.001062765
cta_total_rides,0.00097513036
demand_change_24h,0.0009612593
slot_avg_leakfree,0.0009357577
humidity,0.0009145468
roll_3h_std,0.0008978545
snowfall_cm,0.00083206245
slot_avg_daytype,0.00076049246
hour,0.0007120054
lag_2h,0.0006377207
weather_code,0.0006232545
avg_fare,0.00061930105
roll_6h_std,0.0005658357
cta_avg_ratio,0.00046154263
roll_24h_min,0.00039825885
roll_168h_mean,0.0003819385
slot_std,0.00034070236
roll_24h_mean,0.00033684532
weather_misery,0.0002608668
wind_speed_kmh,0.00026031016
dow_cos,0.0002561953
roll_168h_min,0.00024297921
hour_sin,0.00020622226
roll_168h_std,0.00020555644
dom_cos,0.00011372859
is_raining,0.00010395717
roll_168h_max,8.2818726e-05
dom_sin,4.534096e-05
cta_stations_low,4.176728e-05
unique_areas,3.3028115e-05
week_of_year,2.2385662e-05
is_snowing,0.0
