feature,importance
slot_avg,0.13477492
slot_avg_leakfree,0.08382198
roll_24h_min,0.054174524
roll_168h_min,0.053701814
slot_deviation,0.05036776
avg_distance,0.0464327
lag_24h,0.035151165
demand_change_24h,0.03464655
unique_h3_cells,0.033874977
slot_zscore,0.031959474
lag_1h,0.031355076
vs_slot_avg,0.030600715
lag_2h,0.02857455
demand_vs_24h_avg,0.025450872
demand_pct_change_1h,0.020000584
holiday_proximity,0.019121379
vs_slot_avg_leakfree,0.01901737
demand_vs_3h_avg,0.0184864
roll_24h_mean,0.018231597
roll_168h_max,0.01586045
slot_std,0.013437802
shared_pct,0.013404237
roll_6h_max,0.013303657
avg_tip,0.011904664
roll_24h_std,0.011776711
short_vs_long_trend,0.011679926
demand_change_1h,0.011663359
avg_duration_sec,0.010590351
humidity,0.0103486935
hour_sin,0.010246483
roll_168h_mean,0.008795533
roll_3h_std,0.007778681
slot_avg_daytype,0.007444838
weather_misery,0.00715701
cta_total_rides,0.006661518
roll_6h_min,0.005943218
cta_avg_ratio,0.0058060572
roll_6h_std,0.005750165
roll_168h_std,0.0052012634
wind_speed_kmh,0.0050609224
avg_fare,0.0049945973
lag_3h,0.004756986
lag_48h,0.0046118307
day_of_week,0.0036444135
dom_sin,0.0028469996
dow_sin,0.0027960981
weather_code,0.0027932257
week_of_year,0.0020118884
precipitation_mm,0.001196227
dom_cos,0.0006632894
cta_stations_low,0.00011219812
hour_cos,1.2304811e-05
is_snowing,0.0
hour,0.0
unique_areas,0.0
is_raining,0.0
dow_cos,0.0
snowfall_cm,0.0
