feature,importance
avg_distance,0.2711819
unique_h3_cells,0.24480641
slot_avg,0.21968053
day_of_week,0.049398687
lag_1h,0.047168605
dow_sin,0.03030938
roll_24h_min,0.0179024
dow_cos,0.015484088
demand_vs_3h_avg,0.013632478
demand_vs_24h_avg,0.013424643
slot_deviation,0.006673479
lag_24h,0.005640926
hour_cos,0.005210841
avg_duration_sec,0.0051645194
vs_slot_avg,0.003921288
demand_change_1h,0.0033570295
roll_24h_std,0.0031770405
hour_sin,0.002920271
demand_pct_change_1h,0.0027807907
lag_48h,0.0027220359
shared_pct,0.0023847353
roll_6h_min,0.0023326245
short_vs_long_trend,0.0022586866
roll_24h_mean,0.0022301981
hour,0.0020785425
roll_168h_min,0.002035804
vs_slot_avg_leakfree,0.0019427915
slot_avg_leakfree,0.0018775552
slot_zscore,0.0014857047
slot_avg_daytype,0.0013882892
slot_std,0.0012745014
weather_misery,0.0012541604
roll_3h_std,0.001127475
demand_change_24h,0.0010376936
avg_tip,0.0009540513
humidity,0.000803949
cta_total_rides,0.0007931343
lag_3h,0.00076047325
roll_6h_std,0.00068751036
lag_2h,0.000659557
dom_sin,0.0006048184
is_snowing,0.00059492065
wind_speed_kmh,0.0005694764
holiday_proximity,0.00056403957
roll_6h_max,0.0004479019
roll_168h_mean,0.0004146534
snowfall_cm,0.00040324923
weather_code,0.00035419635
avg_fare,0.00035014327
dom_cos,0.00034880196
roll_168h_max,0.00033194042
roll_168h_std,0.00031541497
cta_avg_ratio,0.00026089235
week_of_year,0.00017148195
unique_areas,0.00012906181
precipitation_mm,0.00011547899
cta_stations_low,6.1695806e-05
is_raining,3.7073973e-05
