feature,importance
demand_vs_neighbors,0.7299908
avg_distance,0.063448615
avg_duration_sec,0.06253892
avg_fare,0.04507183
slot_avg,0.0303607
neighbor_avg_demand,0.02619772
slot_avg_daytype,0.01760095
slot_deviation,0.004982729
cta_lines_at_cell,0.00334262
demand_change_24h,0.003119823
slot_zscore,0.0023535613
slot_std,0.0011927268
cell_total_trips_norm,0.0009899812
vs_slot_avg,0.0007957671
cell_avg_fare,0.000611203
demand_vs_3h_avg,0.0005597552
cell_avg_duration_min,0.00051691633
lag_24h,0.0004374919
shared_pct,0.00038125383
cell_latitude,0.00035819394
demand_change_1h,0.000325572
cell_tip_rate,0.00027761344
cell_longitude,0.00026172865
cell_avg_distance,0.00025741511
hour_sin,0.0002520425
demand_vs_24h_avg,0.00023890508
lag_48h,0.00018877744
weather_code,0.00018319256
demand_percentile,0.0001794256
hour,0.0001783344
roll_24h_std,0.0001738006
wind_speed_kmh,0.00017340101
vs_slot_avg_leakfree,0.00016986161
dow_sin,0.00016657753
weather_misery,0.0001548947
week_of_year,0.00015279485
dow_cos,0.00014644777
roll_6h_std,0.000145247
cta_total_rides,0.00014489022
day_of_week,0.00014169546
dom_sin,0.00014154888
hour_cos,0.00014014995
cta_stations_low,0.00013769911
roll_3h_std,0.00013690765
lag_3h,0.00013015993
dom_cos,0.000119054224
humidity,0.000116430834
cta_avg_ratio,0.00011375816
temperature_f,0.000106164916
holiday_proximity,8.8039524e-05
precipitation_mm,5.9757035e-06
has_cta_station,0.0
snowfall_cm,0.0
is_raining,0.0
is_snowing,0.0
