feature,importance
avg_tip,353
slot_avg,305
avg_distance,264
demand_vs_24h_avg,225
unique_h3_cells,220
lag_24h,208
avg_duration_sec,194
vs_slot_avg_leakfree,189
demand_change_1h,181
slot_avg_leakfree,162
avg_fare,160
demand_change_24h,138
slot_deviation,136
roll_3h_std,134
lag_48h,129
roll_6h_std,128
slot_std,119
shared_pct,119
weather_misery,114
slot_zscore,110
humidity,109
vs_slot_avg,109
demand_vs_3h_avg,105
wind_speed_kmh,104
demand_pct_change_1h,100
lag_1h,96
lag_2h,95
roll_6h_max,93
roll_6h_min,89
short_vs_long_trend,81
lag_3h,81
roll_24h_mean,75
hour_sin,71
roll_168h_mean,66
roll_24h_std,63
roll_168h_std,59
slot_avg_daytype,52
hour_cos,49
hour,42
cta_total_rides,38
cta_avg_ratio,24
roll_24h_min,21
day_of_week,16
dow_sin,16
dow_cos,15
is_raining,14
dom_sin,13
unique_areas,10
roll_168h_max,10
weather_code,6
holiday_proximity,4
roll_168h_min,3
dom_cos,3
precipitation_mm,2
cta_stations_low,2
snowfall_cm,0
week_of_year,0
is_snowing,0
