feature,importance
slot_avg,2256
demand_change_1h,2151
lag_24h,2051
demand_change_24h,2017
demand_vs_3h_avg,2013
lag_3h,1982
slot_avg_daytype,1950
avg_fare,1899
demand_vs_24h_avg,1885
slot_std,1869
lag_48h,1864
neighbor_avg_demand,1832
slot_deviation,1809
roll_3h_std,1663
demand_vs_neighbors,1611
vs_slot_avg_leakfree,1542
avg_duration_sec,1526
avg_distance,1510
hour_cos,1446
roll_6h_std,1416
cell_avg_fare,1365
slot_zscore,1320
vs_slot_avg,1298
roll_24h_std,1292
hour_sin,1276
cell_total_trips_norm,1239
wind_speed_kmh,1221
hour,1206
cell_latitude,1158
weather_misery,1136
shared_pct,1108
cell_tip_rate,1064
temperature_f,1018
humidity,993
cell_longitude,992
cell_avg_distance,935
cell_avg_duration_min,774
demand_percentile,679
cta_total_rides,611
dow_sin,520
dom_sin,462
holiday_proximity,392
cta_avg_ratio,386
dow_cos,355
day_of_week,343
dom_cos,338
cta_lines_at_cell,333
weather_code,190
cta_stations_low,107
precipitation_mm,102
week_of_year,88
snowfall_cm,50
has_cta_station,17
is_snowing,15
is_raining,12
