feature,importance
slot_avg_leakfree,558
slot_avg,497
lag_1h,491
avg_distance,464
demand_vs_24h_avg,425
lag_48h,421
lag_24h,413
slot_std,408
avg_duration_sec,397
wind_speed_kmh,396
avg_tip,359
lag_2h,333
roll_6h_std,332
vs_slot_avg_leakfree,330
demand_change_24h,323
avg_fare,298
roll_3h_std,298
unique_h3_cells,297
demand_change_1h,286
shared_pct,283
roll_6h_min,281
slot_deviation,257
roll_24h_std,238
lag_3h,227
short_vs_long_trend,214
humidity,195
roll_24h_mean,191
slot_zscore,191
demand_pct_change_1h,190
demand_vs_3h_avg,180
roll_6h_max,179
vs_slot_avg,175
weather_misery,165
slot_avg_daytype,149
hour_sin,144
roll_168h_mean,128
hour,103
roll_168h_std,93
roll_24h_min,85
hour_cos,84
cta_total_rides,65
dow_sin,45
dom_sin,43
weather_code,40
dow_cos,35
roll_168h_max,33
cta_avg_ratio,32
day_of_week,24
unique_areas,22
roll_168h_min,21
holiday_proximity,20
dom_cos,17
cta_stations_low,12
precipitation_mm,1
week_of_year,1
is_snowing,0
snowfall_cm,0
is_raining,0
