feature,importance
demand_change_1h,1102
slot_avg,1053
demand_change_24h,813
lag_24h,777
hour_cos,766
hour_sin,707
slot_deviation,704
lag_3h,701
slot_avg_daytype,677
slot_std,658
lag_48h,658
neighbor_avg_demand,655
demand_vs_3h_avg,623
demand_vs_24h_avg,534
avg_distance,527
avg_fare,505
cell_avg_fare,483
demand_vs_neighbors,478
roll_24h_std,477
cell_total_trips_norm,474
hour,446
roll_3h_std,416
avg_duration_sec,401
vs_slot_avg_leakfree,369
vs_slot_avg,362
temperature_f,336
humidity,326
roll_6h_std,310
wind_speed_kmh,288
cell_latitude,283
weather_misery,282
shared_pct,277
slot_zscore,275
cell_tip_rate,264
dow_sin,243
cell_avg_distance,224
dow_cos,215
cell_longitude,206
cta_total_rides,191
dom_sin,162
cell_avg_duration_min,149
holiday_proximity,114
cta_avg_ratio,90
cta_lines_at_cell,84
day_of_week,76
dom_cos,71
demand_percentile,67
weather_code,42
precipitation_mm,26
snowfall_cm,18
cta_stations_low,15
week_of_year,7
is_snowing,6
is_raining,4
has_cta_station,0
